Rank,FirstName,LastName,Team,Position,ADP,Year,TeamPosRank,PosRank1_ADP,PosRank2_ADP,PosAmbiguity,PlayerID,FantasyPointsHalfPointPpr,FantasyPointsPerGameHalfPointPPR,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Receptions,ReceivingTargets,ReceivingYards,ReceptionPercentage,ReceivingTouchdowns,ReceivingYardsPerTarget,ReceivingYardsPerReception
91,Sidney,Rice,SEA,WR,119.49,2013,WR2,115.49,119.49,False,459,46.6,5.8,8,0.0,0.0,0.0,0.0,15.0,35.0,231.0,42.9,3.0,6.6,15.4
92,DeAndre,Hopkins,HOU,WR,121.53,2013,WR2,31.26,121.53,False,14986,116.2,7.3,16,0.0,0.0,0.0,0.0,52.0,91.0,802.0,57.1,2.0,8.8,15.4
93,Justin,Blackmon,JAC,WR,123.17,2013,WR2,88.54,123.17,False,14019,61.9,15.5,4,1.0,-1.0,-1.0,0.0,29.0,48.0,415.0,60.4,1.0,8.6,14.3
94,Vincent,Brown,SDC,WR,124.11,2013,WR1,124.11,162.1,False,13078,73.7,4.6,16,0.0,0.0,0.0,0.0,41.0,69.0,472.0,59.4,1.0,6.8,11.5
95,Jordan,Cameron,CLE,TE,124.18,2013,TE1,124.18,,False,12861,173.7,11.6,15,0.0,0.0,0.0,0.0,80.0,118.0,917.0,67.8,7.0,7.8,11.5
96,Ronnie,Hillman,DEN,RB,124.89,2013,RB2,62.24,124.89,False,14046,43.7,4.4,10,55.0,218.0,4.0,1.0,12.0,14.0,119.0,85.7,0.0,8.5,9.9
97,Michael,Floyd,ARI,WR,127.07,2013,WR2,29.91,127.07,False,14478,166.6,10.4,16,0.0,0.0,0.0,0.0,65.0,111.0,1041.0,58.6,5.0,9.4,16.0
98,Bryce,Brown,PHI,RB,127.37,2013,RB2,11.0,127.37,False,13719,57.8,3.6,16,75.0,314.0,4.2,2.0,8.0,13.0,84.0,61.5,0.0,6.5,10.5
99,Emmanuel,Sanders,PIT,WR,128.59,2013,WR2,64.37,128.59,False,11063,148.0,9.2,16,1.0,25.0,25.0,0.0,67.0,112.0,740.0,59.8,6.0,6.6,11.0
100,Bernard,Pierce,BAL,RB,130.8,2013,RB2,8.7,130.8,False,14687,76.0,4.8,16,152.0,436.0,2.9,2.0,20.0,25.0,104.0,80.0,0.0,4.2,5.2
101,Fred,Jackson,BUF,RB,131.07,2013,RB2,9.31,131.07,False,5701,210.1,13.1,16,207.0,896.0,4.3,9.0,46.0,65.0,375.0,70.8,1.0,5.8,8.2
102,Alshon,Jeffery,CHI,WR,131.71,2013,WR2,22.96,131.71,False,14187,239.1,14.9,16,16.0,105.0,6.6,0.0,89.0,149.0,1421.0,59.7,7.0,9.5,16.0
103,Martellus,Bennett,CHI,TE,133.6,2013,TE1,133.6,,False,1181,136.4,8.5,16,0.0,0.0,0.0,0.0,65.0,94.0,759.0,69.1,5.0,8.1,11.7
104,Jonathan,Stewart,CAR,RB,135.03,2013,RB2,89.23,135.03,False,5451,25.9,4.3,6,48.0,180.0,3.8,0.0,7.0,7.0,44.0,100.0,0.0,6.3,6.3
105,Brandon,Pettigrew,DET,TE,136.04,2013,TE1,136.04,,False,9588,72.1,5.2,14,0.0,0.0,0.0,0.0,41.0,63.0,416.0,65.1,2.0,6.6,10.1
106,Denarius,Moore,OAK,WR,136.48,2013,WR1,136.48,196.79,False,13069,122.5,9.4,13,0.0,0.0,0.0,0.0,46.0,86.0,695.0,53.5,5.0,8.1,15.1
107,Brandon,Myers,NYG,TE,136.98,2013,TE1,136.98,,False,8778,99.7,6.2,16,0.0,0.0,0.0,0.0,47.0,76.0,522.0,61.8,4.0,6.9,11.1
109,Danny,Woodhead,SDC,RB,140.72,2013,RB2,63.27,140.72,False,12317,185.4,11.6,16,106.0,429.0,4.0,2.0,76.0,87.0,605.0,87.4,6.0,7.0,8.0
112,Jacquizz,Rodgers,ATL,RB,143.75,2013,RB2,21.72,143.75,False,13299,115.4,7.7,15,97.0,333.0,3.4,2.0,52.0,62.0,341.0,83.9,2.0,5.5,6.6
113,Pierre,Thomas,NOS,RB,144.17,2013,RB3,46.78,97.24,True,957,172.7,10.8,16,147.0,549.0,3.7,2.0,77.0,84.0,513.0,91.7,3.0,6.1,6.7
115,Jermaine,Gresham,CIN,TE,145.15,2013,TE1,145.15,154.23,False,11026,87.1,6.2,14,0.0,0.0,0.0,0.0,46.0,68.0,461.0,67.6,4.0,6.8,10.0
117,Knowshon,Moreno,DEN,RB,150.15,2013,RB3,62.24,124.89,False,8699,266.6,16.7,16,241.0,1038.0,4.3,10.0,60.0,74.0,548.0,81.1,3.0,7.4,9.1
118,Michael,Bush,CHI,RB,151.77,2013,RB2,17.02,151.77,False,371,50.5,3.4,15,63.0,197.0,3.1,3.0,4.0,8.0,48.0,50.0,1.0,6.0,12.0
119,Kendall,Wright,TEN,WR,151.96,2013,WR2,105.65,151.96,False,13957,166.9,10.4,16,0.0,0.0,0.0,0.0,94.0,139.0,1079.0,67.6,2.0,7.8,11.5
120,Jonathan,Dwyer,PIT,RB,152.33,2013,RB2,83.64,152.33,False,12262,30.1,2.0,15,49.0,197.0,4.0,0.0,8.0,11.0,64.0,72.7,0.0,5.8,8.0
123,Brian,Hartline,MIA,WR,153.83,2013,WR2,64.45,153.83,False,8330,163.6,10.2,16,0.0,0.0,0.0,0.0,76.0,134.0,1016.0,56.7,4.0,7.6,13.4
124,Rueben,Randle,NYG,WR,154.1,2013,WR3,36.26,57.44,True,14242,115.6,7.2,16,0.0,0.0,0.0,0.0,41.0,78.0,611.0,52.6,6.0,7.8,14.9
125,Tyler,Eifert,CIN,TE,154.23,2013,TE2,145.15,154.23,False,14918,76.0,5.1,15,0.0,0.0,0.0,0.0,39.0,60.0,445.0,65.0,2.0,7.4,11.4
126,Darrius,HeywardBey,IND,WR,154.43,2013,WR3,50.59,77.35,True,8771,54.0,3.4,16,3.0,26.0,8.7,0.0,29.0,64.0,309.0,45.3,1.0,4.8,10.7
127,Joique,Bell,DET,RB,156.35,2013,RB3,31.18,146.47,False,12323,190.2,11.9,16,166.0,650.0,3.9,8.0,53.0,69.0,547.0,76.8,0.0,7.9,10.3
129,Shonn,Greene,TEN,RB,158.92,2013,RB2,21.51,158.92,False,8399,60.4,5.5,11,77.0,295.0,3.8,4.0,6.0,7.0,39.0,85.7,0.0,5.6,6.5
130,Johnathan,Franklin,GBP,RB,160.06,2013,RB2,49.06,160.06,False,15135,19.7,1.8,11,19.0,107.0,5.6,1.0,4.0,5.0,30.0,80.0,0.0,6.0,7.5
131,Bilal,Powell,NYJ,RB,160.6,2013,RB2,80.59,160.6,False,12800,122.1,7.6,16,176.0,697.0,4.0,1.0,36.0,57.0,272.0,63.2,0.0,4.8,7.6
132,Julius,Thomas,DEN,TE,160.66,2013,TE1,160.66,208.31,False,13027,183.3,13.1,14,0.0,0.0,0.0,0.0,65.0,90.0,788.0,72.2,12.0,8.8,12.1
134,Malcom,Floyd,SDC,WR,162.1,2013,WR2,124.11,162.1,False,7711,17.9,9.0,2,0.0,0.0,0.0,0.0,6.0,11.0,149.0,54.5,0.0,13.5,24.8
133,Coby,Fleener,IND,TE,162.1,2013,TE1,162.1,177.66,False,13997,114.8,7.2,16,0.0,0.0,0.0,0.0,52.0,87.0,608.0,59.8,4.0,7.0,11.7
135,Heath,Miller,PIT,TE,163.1,2013,TE1,163.1,,False,7635,92.3,6.6,14,0.0,0.0,0.0,0.0,58.0,78.0,593.0,74.4,1.0,7.6,10.2
136,Aaron,Dobson,NEP,WR,164.32,2013,WR3,49.89,118.1,False,14886,94.4,7.9,12,0.0,0.0,0.0,0.0,37.0,72.0,519.0,51.4,4.0,7.2,14.0
