FirstName,LastName,Team,Position,ADP,Year,TeamPosRank,PosRank1_ADP,PosRank2_ADP,PosAmbiguity,Age,GamesPlayed,PointsPPR,PointsHalfPPR,PPG_PPR,PPG_HalfPPR,RushAtt,RushYds,RushYardsPerAtt,RushTD,Tgts,TgtsPerGame,Receptions,RecYds,YardsPerRec,RecTD
Ryan,Mathews,SDG,RB,63.27,2013,RB1,63.27,140.72,False,26,16,210.4,197.4,13.15,12.34,285,1255,4.4,6,33.0,2.06,26,189,7.27,1
Antonio,Brown,PIT,WR,64.37,2013,WR1,64.37,128.59,False,25,16,314.9,259.9,19.68,16.24,7,4,0.57,0,167.0,10.44,110,1499,13.63,8
Mike,Wallace,MIA,WR,64.45,2013,WR1,64.45,153.83,False,27,16,199.3,162.8,12.46,10.18,3,33,11.0,0,141.0,8.81,73,930,12.74,5
Tony,Gonzalez,ATL,TE,64.46,2013,TE1,64.46,,False,37,16,218.9,177.4,13.68,11.09,0,0,,0,121.0,7.56,83,859,10.35,8
DeSean,Jackson,PHI,WR,69.58,2013,WR1,69.58,191.66,False,27,16,269.4,228.4,16.84,14.28,3,2,0.67,0,126.0,7.88,82,1332,16.24,9
Giovani,Bernard,CIN,RB,70.16,2013,RB1,70.16,89.44,True,22,16,222.9,194.9,13.93,12.18,170,695,4.09,5,71.0,4.44,56,514,9.18,3
Steve,Smith,CAR,WR,70.81,2013,WR1,70.81,167.16,False,34,15,162.5,130.5,10.83,8.7,0,0,,0,110.0,7.33,64,745,11.64,4
James,Jones,GNB,WR,72.42,2013,WR3,33.23,55.84,True,29,14,156.7,127.2,11.19,9.09,0,0,,0,93.0,6.64,59,817,13.85,3
TY,Hilton,IND,WR,77.35,2013,WR2,50.59,77.35,True,24,16,220.9,179.9,13.81,11.24,2,6,3.0,0,139.0,8.69,82,1083,13.21,5
Ahmad,Bradshaw,IND,RB,78.73,2013,RB2,10.2,78.73,False,27,3,41.8,38.3,13.93,12.77,41,186,4.54,2,8.0,2.67,7,42,6.0,0
Daryl,Richardson,STL,RB,78.88,2013,RB1,78.88,152.65,False,23,8,47.6,40.6,5.95,5.08,69,215,3.12,0,18.0,2.25,14,121,8.64,0
Chris,Ivory,NYJ,RB,80.59,2013,RB1,80.59,160.6,False,25,15,104.3,103.3,6.95,6.89,182,833,4.58,3,7.0,0.47,2,10,5.0,0
LeVeon,Bell,PIT,RB,83.64,2013,RB1,83.64,152.33,False,21,13,216.9,194.4,16.68,14.95,244,860,3.52,8,66.0,5.08,45,399,8.87,0
Tavon,Austin,STL,WR,84.22,2013,WR1,84.22,118.06,False,23,13,130.9,110.9,10.07,8.53,9,151,16.78,1,69.0,5.31,40,418,10.45,4
Jermichael,Finley,GNB,TE,84.76,2013,TE1,84.76,,False,26,6,73.0,60.5,12.17,10.08,0,0,,0,34.0,5.67,25,300,12.0,3
Rashard,Mendenhall,ARI,RB,85.7,2013,RB1,85.7,178.98,False,26,15,144.1,135.1,9.61,9.01,217,687,3.17,8,21.0,1.4,18,134,7.44,0
Greg,Jennings,MIN,WR,87.12,2013,WR1,87.12,144.59,False,30,15,172.4,138.4,11.49,9.23,0,0,,0,106.0,7.07,68,804,11.82,4
Miles,Austin,DAL,WR,88.37,2013,WR2,17.78,88.37,False,29,11,48.4,36.4,4.4,3.31,0,0,,0,49.0,4.45,24,244,10.17,0
Cecil,Shorts,JAX,WR,88.54,2013,WR1,88.54,123.17,False,26,13,161.7,128.7,12.44,9.9,0,0,,0,123.0,9.46,66,777,11.77,3
Anquan,Boldin,SFO,WR,88.73,2013,WR1,88.73,193.22,False,33,16,246.0,203.5,15.38,12.72,2,11,5.5,0,129.0,8.06,85,1179,13.87,7
DeAngelo,Williams,CAR,RB,89.23,2013,RB1,89.23,135.03,False,30,15,163.6,150.6,10.91,10.04,201,843,4.19,3,36.0,2.4,26,333,12.81,1
BenJarvus,GreenEllis,CIN,RB,89.44,2013,RB2,70.16,89.44,True,28,16,119.8,117.8,7.49,7.36,220,756,3.44,7,8.0,0.5,4,22,5.5,0
Kyle,Rudolph,MIN,TE,90.4,2013,TE1,90.4,,False,24,8,79.3,64.3,9.91,8.04,0,0,,0,46.0,5.75,30,313,10.43,3
Shane,Vereen,NWE,RB,91.13,2013,RB2,27.29,91.13,True,24,8,134.5,111.0,16.81,13.88,44,208,4.73,1,69.0,8.62,47,427,9.09,3
Greg,Olsen,CAR,TE,95.57,2013,TE1,95.57,,False,28,16,190.6,154.1,11.91,9.63,0,0,,0,111.0,6.94,73,816,11.18,6
Mark,Ingram,NOR,RB,97.24,2013,RB2,46.78,97.24,True,24,11,58.4,54.9,5.31,4.99,78,386,4.95,1,11.0,1.0,7,68,9.71,0
Mike,Williams,TAM,WR,99.43,2013,WR2,40.02,99.43,True,26,6,55.6,44.6,9.27,7.43,0,0,,0,40.0,6.67,22,216,9.82,2
Josh,Gordon,CLE,WR,100.39,2013,WR1,100.39,169.57,False,22,14,314.4,270.9,22.46,19.35,5,88,17.6,0,159.0,11.36,87,1646,18.92,9
Ben,Tate,HOU,RB,100.71,2013,RB2,4.58,100.71,False,25,14,145.1,128.1,10.36,9.15,181,771,4.26,4,49.0,3.5,34,140,4.12,0
Antonio,Gates,SDG,TE,104.04,2013,TE1,104.04,,False,33,16,184.2,145.7,11.51,9.11,0,0,,0,114.0,7.12,77,872,11.32,4
Owen,Daniels,HOU,TE,105.18,2013,TE1,105.18,,False,31,5,67.2,55.2,13.44,11.04,0,0,,0,41.0,8.2,24,252,10.5,3
Lance,Moore,NOR,WR,105.62,2013,WR2,45.05,105.62,True,30,13,92.7,74.2,7.13,5.71,0,0,,0,54.0,4.15,37,457,12.35,2
Kenny,Britt,TEN,WR,105.65,2013,WR1,105.65,151.96,False,25,12,20.6,15.1,1.72,1.26,0,0,,0,35.0,2.92,11,96,8.73,0
Jared,Cook,STL,TE,107.02,2013,TE1,107.02,,False,26,16,146.1,120.6,9.13,7.54,0,0,,0,85.0,5.31,51,671,13.16,5
Andre,Brown,NYG,RB,113.89,2013,RB2,36.24,113.89,False,27,8,93.5,83.5,11.69,10.44,139,492,3.54,3,29.0,3.62,20,103,5.15,0
Golden,Tate,SEA,WR,115.49,2013,WR1,115.49,119.49,False,25,16,186.9,154.9,11.68,9.68,3,31,10.33,0,99.0,6.19,64,898,14.03,5
Chris,Givens,STL,WR,118.06,2013,WR2,84.22,118.06,False,24,16,89.7,72.7,5.61,4.54,3,8,2.67,0,83.0,5.19,34,569,16.74,0
Kenbrell,Thompkins,NWE,WR,118.1,2013,WR2,49.89,118.1,False,25,12,102.6,86.6,8.55,7.22,0,0,,0,69.0,5.75,32,466,14.56,4
Vick,Ballard,IND,RB,119.07,2013,RB3,10.2,78.73,False,23,1,6.8,6.3,6.8,6.3,13,63,4.85,0,2.0,2.0,1,-5,-5.0,0
Sidney,Rice,SEA,WR,119.49,2013,WR2,115.49,119.49,False,27,8,54.1,46.6,6.76,5.82,0,0,,0,35.0,4.38,15,231,15.4,3
DeAndre,Hopkins,HOU,WR,121.53,2013,WR2,31.26,121.53,False,21,16,142.2,116.2,8.89,7.26,0,0,,0,91.0,5.69,52,802,15.42,2
Justin,Blackmon,JAX,WR,123.17,2013,WR2,88.54,123.17,False,23,4,76.4,61.9,19.1,15.48,1,-1,-1.0,0,48.0,12.0,29,415,14.31,1
Vincent,Brown,SDG,WR,124.11,2013,WR1,124.11,162.1,False,24,16,94.2,73.7,5.89,4.61,0,0,,0,70.0,4.38,41,472,11.51,1
