FirstName,LastName,PlayerID,Position,Year,FantasyPointsHalfPointPpr,FantasyPointsPerGameHalfPointPPR,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Receptions,ReceivingTargets,ReceivingYards,ReceptionPercentage,ReceivingTouchdowns,ReceivingYardsPerTarget,ReceivingYardsPerReception
Owen,Daniels,1810,TE,2014,100.7,6.7,15,0.0,0.0,0.0,0.0,48.0,78.0,527.0,61.5,4.0,6.8,11.0
Nate,Washington,8564,WR,2014,96.7,6.0,16,0.0,0.0,0.0,0.0,40.0,72.0,647.0,55.6,2.0,9.0,16.2
Jermaine,Gresham,11026,TE,2014,107.0,7.1,15,0.0,0.0,0.0,0.0,62.0,80.0,460.0,77.5,5.0,5.8,7.4
Mychal,Rivera,15072,TE,2014,104.4,6.5,16,0.0,0.0,0.0,0.0,58.0,100.0,534.0,58.0,4.0,5.3,9.2
Dwayne,Bowe,7203,WR,2014,105.4,7.0,15,0.0,0.0,0.0,0.0,60.0,95.0,754.0,63.2,0.0,7.9,12.6
Riley,Cooper,11313,WR,2014,101.2,6.3,16,0.0,0.0,0.0,0.0,55.0,94.0,577.0,58.5,3.0,6.1,10.5
Jonas,Gray,15565,RB,2014,72.4,9.0,8,89.0,412.0,4.6,5.0,1.0,3.0,7.0,33.3,0.0,2.3,7.0
Devin,Hester,7082,WR,2014,89.0,5.6,16,6.0,36.0,6.0,1.0,38.0,59.0,504.0,64.4,2.0,8.5,13.3
Harry,Douglas,6211,WR,2014,95.1,7.9,12,0.0,0.0,0.0,0.0,51.0,74.0,556.0,68.9,2.0,7.5,10.9
Taylor,Gabriel,16129,WR,2014,87.6,5.5,16,3.0,2.0,0.7,0.0,37.0,73.0,629.0,50.7,1.0,8.6,17.0
Miles,Austin,3330,WR,2014,92.3,7.7,12,0.0,0.0,0.0,0.0,47.0,72.0,568.0,65.3,2.0,7.9,12.1
Allen,Robinson,16263,WR,2014,92.8,9.3,10,0.0,0.0,0.0,0.0,48.0,81.0,548.0,59.3,2.0,6.8,11.4
Latavius,Murray,15071,RB,2014,77.2,5.1,15,82.0,424.0,5.2,2.0,17.0,23.0,143.0,73.9,0.0,6.2,8.4
Doug,Martin,14385,RB,2014,74.3,6.8,11,135.0,494.0,3.7,2.0,13.0,20.0,64.0,65.0,0.0,3.2,4.9
Justin,Hunter,14978,WR,2014,81.8,6.8,12,0.0,0.0,0.0,0.0,28.0,67.0,498.0,41.8,3.0,7.4,17.8
Scott,Chandler,12548,TE,2014,91.2,5.7,16,0.0,0.0,0.0,0.0,47.0,70.0,497.0,67.1,3.0,7.1,10.6
Jerick,McKinnon,16510,RB,2014,80.8,7.3,11,113.0,538.0,4.8,0.0,27.0,41.0,135.0,65.9,0.0,3.3,5.0
Reggie,Bush,4640,RB,2014,87.0,7.9,11,76.0,297.0,3.9,2.0,40.0,56.0,253.0,71.4,0.0,4.5,6.3
Ben,Tate,13557,RB,2014,71.5,6.5,11,119.0,370.0,3.1,4.0,9.0,12.0,60.0,75.0,0.0,5.0,6.7
Jerricho,Cotchery,4104,WR,2014,90.0,6.0,15,0.0,0.0,0.0,0.0,48.0,78.0,580.0,61.5,1.0,7.4,12.1
Cecil,Shorts,13002,WR,2014,91.48,7.0,13,0.0,0.0,0.0,0.0,53.0,110.0,557.0,48.2,1.0,5.1,10.5
Antone,Smith,11439,RB,2014,71.1,7.1,10,23.0,144.0,6.3,2.0,13.0,15.0,222.0,86.7,3.0,14.8,17.1
Hakeem,Nicks,9739,WR,2014,83.5,5.2,16,0.0,0.0,0.0,0.0,38.0,68.0,405.0,55.9,4.0,6.0,10.7
Donte,Moncrief,16232,WR,2014,80.1,5.0,16,4.0,17.0,4.2,0.0,32.0,49.0,444.0,65.3,3.0,9.1,13.9
Lorenzo,Taliaferro,16099,RB,2014,66.6,5.1,13,68.0,292.0,4.3,4.0,8.0,10.0,114.0,80.0,0.0,11.4,14.2
